variance;skewness;kurtosis;entropy;class
3.6216;8.6661;-2.8073;-0.44699;0
4.5459;8.1674;-2.4586;-1.4621;0
3.866;-2.6383;1.9242;0.10645;0
3.4566;9.5228;-4.0112;-3.5944;0
0.32924;-4.4552;4.5718;-0.9888;0
4.3684;9.6718;-3.9606;-3.1625;0
3.5912;3.0129;0.72888;0.56421;0
2.0922;-6.81;8.4636;-0.60216;0
3.2032;5.7588;-0.75345;-0.61251;0
1.5356;9.1772;-2.2718;-0.73535;0
1.2247;8.7779;-2.2135;-0.80647;0
3.9899;-2.7066;2.3946;0.86291;0
1.8993;7.6625;0.15394;-3.1108;0
-1.5768;10.843;2.5462;-2.9362;0
3.404;8.7261;-2.9915;-0.57242;0
4.6765;-3.3895;3.4896;1.4771;0
2.6719;3.0646;0.37158;0.58619;0
0.80355;2.8473;4.3439;0.6017;0
1.4479;-4.8794;8.3428;-2.1086;0
5.2423;11.0272;-4.353;-4.1013;0
5.7867;7.8902;-2.6196;-0.48708;0
0.3292;-4.4552;4.5718;-0.9888;0
3.9362;10.1622;-3.8235;-4.0172;0
0.93584;8.8855;-1.6831;-1.6599;0
4.4338;9.887;-4.6795;-3.7483;0
0.7057;-5.4981;8.3368;-2.8715;0
1.1432;-3.7413;5.5777;-0.63578;0
-0.38214;8.3909;2.1624;-3.7405;0
6.5633;9.8187;-4.4113;-3.2258;0
4.8906;-3.3584;3.4202;1.0905;0
-0.24811;-0.17797;4.9068;0.15429;0
1.4884;3.6274;3.308;0.48921;0
4.2969;7.617;-2.3874;-0.96164;0
-0.96511;9.4111;1.7305;-4.8629;0
-1.6162;0.80908;8.1628;0.60817;0
2.4391;6.4417;-0.80743;-0.69139;0
2.6881;6.0195;-0.46641;-0.69268;0
3.6289;0.81322;1.6277;0.77627;0
4.5679;3.1929;-2.1055;0.29653;0
3.4805;9.7008;-3.7541;-3.4379;0
4.1711;8.722;-3.0224;-0.59699;0
-0.2062;9.2207;-3.7044;-6.8103;0
-0.0068919;9.2931;-0.41243;-1.9638;0
0.96441;5.8395;2.3235;0.066365;0
2.8561;6.9176;-0.79372;0.48403;0
-0.7869;9.5663;-3.7867;-7.5034;0
2.0843;6.6258;0.48382;-2.2134;0
-0.7869;9.5663;-3.7867;-7.5034;0
3.9102;6.065;-2.4534;-0.68234;0
1.6349;3.286;2.8753;0.087054;0
-1.3971;3.3191;-1.3927;-1.9948;1
0.39012;-0.14279;-0.031994;0.35084;1
-1.6677;-7.1535;7.8929;0.96765;1
-3.8483;-12.8047;15.6824;-1.281;1
-3.5681;-8.213;10.083;0.96765;1
-2.2804;-0.30626;1.3347;1.3763;1
-1.7582;2.7397;-2.5323;-2.234;1
-0.89409;3.1991;-1.8219;-2.9452;1
0.3434;0.12415;-0.28733;0.14654;1
-0.9854;-6.661;5.8245;0.5461;1
-2.4115;-9.1359;9.3444;-0.65259;1
-1.5252;-6.2534;5.3524;0.59912;1
-0.61442;-0.091058;-0.31818;0.50214;1
-0.36506;2.8928;-3.6461;-3.0603;1
-5.9034;6.5679;0.67661;-6.6797;1
-1.8215;2.7521;-0.72261;-2.353;1
-0.77461;-1.8768;2.4023;1.1319;1
-1.8187;-9.0366;9.0162;-0.12243;1
-3.5801;-12.9309;13.1779;-2.5677;1
-1.8219;-6.8824;5.4681;0.057313;1
-0.3481;-0.38696;-0.47841;0.62627;1
0.47368;3.3605;-4.5064;-4.0431;1
-3.4083;4.8587;-0.76888;-4.8668;1
-1.6662;-0.30005;1.4238;0.024986;1
-2.0962;-7.1059;6.6188;-0.33708;1
-2.6685;-10.4519;9.1139;-1.7323;1
-0.47465;-4.3496;1.9901;0.7517;1
1.0552;1.1857;-2.6411;0.11033;1
1.1644;3.8095;-4.9408;-4.0909;1
-4.4779;7.3708;-0.31218;-6.7754;1
-2.7338;0.45523;2.4391;0.21766;1
-2.286;-5.4484;5.8039;0.88231;1
-1.6244;-6.3444;4.6575;0.16981;1
0.50813;0.47799;-1.9804;0.57714;1
1.6408;4.2503;-4.9023;-2.6621;1
0.81583;4.84;-5.2613;-6.0823;1
-5.4901;9.1048;-0.38758;-5.9763;1
-3.2238;2.7935;0.32274;-0.86078;1
-2.0631;-1.5147;1.219;0.44524;1
-0.91318;-2.0113;-0.19565;0.066365;1
0.6005;1.9327;-3.2888;-0.32415;1
0.91315;3.3377;-4.0557;-1.6741;1
-0.28015;3.0729;-3.3857;-2.9155;1
-3.6085;3.3253;-0.51954;-3.5737;1
-6.2003;8.6806;0.0091344;-3.703;1
-4.2932;3.3419;0.77258;-0.99785;1
-3.0265;-0.062088;0.68604;-0.055186;1
-1.7015;-0.010356;-0.99337;-0.53104;1
-0.64326;2.4748;-2.9452;-1.0276;1
-0.86339;1.9348;-2.3729;-1.0897;1
